C:\Data\BAS_sjro\May_2016\LP4A_XRF     10/05/2016  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	kcps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	As	Se	Br	Rb	Sr	Y	Zr	Sn	I	Cs	Ba	Ta	W	Ir	Pt	Au	Hg	Pb	Th	U	D1	S1	S2	S3	Mo inc	Mo coh	
C:\Data\BAS_sjro\May_2016\LP4A_XRF\XRF data\L000000.spe	315.20	7.51	1	0.018360	-0.019330	0.007458	0.108113	17536.00000	1.42	14	25	306	6	18	0	89	1086	1440	1525	57	155	1703	54257	8	142	78	228	38	16	0	477	1322	33	644	0	0	7	105	319	649	123	110	107	94	16	103	61	34	394	9	0	12633	4267	
C:\Data\BAS_sjro\May_2016\LP4A_XRF\XRF data\L000001.spe	315.40	7.52	1	0.018362	-0.019330	0.007427	0.108113	17959.00000	1.62	16	48	323	0	0	6	91	1069	1410	1638	56	240	1621	56848	72	192	80	181	73	22	0	446	1315	0	728	0	0	0	92	299	798	154	151	57	117	26	130	58	63	358	15	1546417334775968	12960	4126	
C:\Data\BAS_sjro\May_2016\LP4A_XRF\XRF data\L000002.spe	315.60	7.53	1	0.018358	-0.019330	0.007356	0.108113	17335.00000	1.51	15	45	253	0	0	0	80	926	1237	1435	84	161	1355	52922	114	114	40	231	0	0	0	500	1218	0	712	0	0	0	69	234	767	114	110	39	100	127	0	12	84	277	0	763296742009441	13208	4311	
C:\Data\BAS_sjro\May_2016\LP4A_XRF\XRF data\L000003.spe	315.80	7.55	1	0.018356	-0.019330	0.007136	0.108113	17924.00000	1.46	0	28	350	6	0	0	79	962	1359	1496	144	132	1442	55255	109	165	106	242	0	0	0	570	1132	80	652	0	0	0	111	268	736	106	132	47	134	114	64	42	66	349	0	0	13105	4261	
C:\Data\BAS_sjro\May_2016\LP4A_XRF\XRF data\L000004.spe	316.00	7.56	1	0.018354	-0.019330	0.007160	0.108113	18477.00000	1.39	14	56	383	11	0	12	119	1049	1459	1620	130	125	1447	56460	107	182	0	173	5	17	56	480	1523	13	608	0	0	0	73	288	748	90	107	70	35	33	122	0	0	464	11	0	13688	4431	
C:\Data\BAS_sjro\May_2016\LP4A_XRF\XRF data\L000005.spe	316.20	7.57	1	0.018357	-0.019330	0.007131	0.108113	18558.00000	1.58	22	52	395	29	0	0	100	1064	1479	1561	64	137	1386	55149	104	133	80	221	0	0	0	630	1607	0	749	0	0	0	81	291	705	93	131	103	96	107	54	78	64	250	0	266370640662181	13993	4438	
C:\Data\BAS_sjro\May_2016\LP4A_XRF\XRF data\L000006.spe	316.40	7.58	1	0.018359	-0.019330	0.007149	0.108113	18714.00000	1.49	26	71	380	20	0	0	95	1017	1523	1695	52	133	1350	54161	128	138	98	230	0	0	0	567	1566	0	836	0	0	0	63	262	743	81	142	72	65	75	54	0	137	291	0	0	14235	4387	
C:\Data\BAS_sjro\May_2016\LP4A_XRF\XRF data\L000007.spe	316.60	7.58	1	0.018361	-0.019330	0.007086	0.108113	18956.00000	1.43	0	59	363	0	5	0	83	1060	1412	1680	54	155	1193	55130	80	169	69	215	19	0	0	585	1564	0	717	0	0	0	61	222	803	81	167	47	99	68	17	77	108	355	0	3615069021955287	14150	4515	
C:\Data\BAS_sjro\May_2016\LP4A_XRF\XRF data\L000008.spe	316.80	7.59	1	0.018361	-0.019330	0.007102	0.108113	18922.00000	1.45	9	38	354	12	0	0	130	1122	1432	1604	65	130	1140	55305	93	151	117	217	14	23	0	536	1498	0	653	0	0	0	122	280	762	36	166	51	81	0	143	75	137	324	6	1764918714285710	14672	4475	
C:\Data\BAS_sjro\May_2016\LP4A_XRF\XRF data\L000009.spe	317.00	7.60	1	0.018359	-0.019330	0.007134	0.108113	18975.00000	1.59	39	50	342	0	0	0	91	1112	1488	1590	100	132	1219	55696	184	179	91	226	0	0	0	586	1508	0	765	0	0	5	73	266	735	92	216	84	98	122	33	51	130	259	0	515636387190639	14371	4711	
