N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data     15/03/2013  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	kcps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Se	Br	Rb	Sr	Zr	Sn	Cs	Ba	Ta	W	Ir	Pt	Pb	D1	S1	S2	S3	Mo inc	Mo coh	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000000.spe	0.01	8.00	1	0.018306	-0.000229	0.009659	0.090140	9441.82617	1.15	32	25	52	5	31	1155	46	323	172	0	225	6	472	14387	103	33	0	195	32	11	30	109	200	306	341	0	0	15	5	0	0	10	44	135	87	9	0	10773	3305	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000001.spe	0.21	7.97	1	0.018306	-0.000229	0.009666	0.090140	8933.04980	1.15	0	10	44	0	11	429	52	200	123	0	187	8	360	11458	0	0	0	116	14	130	33	92	154	339	301	0	0	0	7	13	5	25	0	90	91	0	15471578692504	10496	3309	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000002.spe	0.41	7.97	1	0.018306	-0.000229	0.009666	0.090140	8203.18945	1.21	0	4	7	15	10	133	73	112	73	0	112	14	242	7799	48	0	0	105	0	0	0	57	179	321	381	0	7	18	12	0	69	35	58	30	49	0	0	10815	3361	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000003.spe	0.61	7.96	1	0.018306	-0.000229	0.009666	0.090140	8113.69287	1.24	7	0	15	0	4	36	53	102	62	0	130	0	261	7758	76	0	0	97	0	85	98	57	204	414	376	0	0	0	38	0	67	0	0	109	48	9	372585381904078	10462	3374	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000004.spe	0.81	7.95	1	0.018306	-0.000229	0.009666	0.090140	8481.27344	1.50	0	0	0	0	7	25	76	112	62	0	108	31	271	9214	81	0	0	61	0	56	0	32	257	368	446	13	7	4	0	0	0	10	19	7	23	0	0	10727	3435	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000005.spe	1.01	7.94	1	0.018306	-0.000229	0.009666	0.090140	8437.37695	1.05	25	10	24	6	16	26	65	121	81	0	146	7	257	9048	50	17	14	42	21	0	0	23	300	398	423	0	0	0	0	6	0	28	100	0	27	8	0	10829	3573	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000006.spe	1.21	7.92	1	0.018306	-0.000229	0.009666	0.090140	9116.34180	1.16	19	9	32	16	25	32	60	185	111	0	180	15	325	11348	111	0	0	57	13	0	33	18	337	458	495	0	6	20	0	20	8	11	112	16	0	14	0	11625	3663	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000007.spe	1.41	7.91	1	0.018306	-0.000229	0.009666	0.090140	10058.79395	1.32	0	8	21	7	18	21	63	184	129	0	195	0	366	13404	76	0	0	51	0	11	98	12	400	569	485	8	0	29	0	23	20	23	44	0	29	0	0	12721	4192	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000008.spe	1.61	7.89	1	0.018306	-0.000229	0.009666	0.090140	11025.04492	1.21	0	0	36	13	17	35	46	225	124	0	228	15	483	15693	60	17	0	91	0	30	77	82	427	744	575	0	0	11	20	0	32	0	69	101	88	0	700534102351719	13511	4282	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000009.spe	1.81	7.87	1	0.018306	-0.000229	0.009666	0.090140	11899.70313	1.20	7	9	50	7	24	43	80	307	155	5	238	35	492	18064	86	0	0	88	0	0	13	0	437	784	659	0	0	26	12	0	29	0	66	0	107	0	250708332528295	14471	4551	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000010.spe	2.01	7.86	1	0.018306	-0.000229	0.009666	0.090140	13129.34082	1.24	44	29	61	29	41	31	69	388	221	0	346	37	711	23251	59	0	31	127	51	14	43	51	563	614	642	0	0	6	0	14	29	52	70	93	147	5	596871627729986	14866	4836	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000011.spe	2.21	7.84	1	0.018306	-0.000229	0.009666	0.090140	13977.99805	1.24	14	16	48	0	38	12	79	440	240	0	416	41	769	27376	231	0	0	88	63	34	40	61	566	802	611	23	0	27	16	14	0	0	35	134	102	0	770776558189282	15211	4926	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000012.spe	2.41	7.82	1	0.018306	-0.000229	0.009666	0.090140	14790.95801	1.26	0	0	90	10	22	5	49	583	356	0	485	53	887	30290	177	0	0	143	27	82	75	30	465	881	605	0	0	51	5	63	12	35	99	120	112	9	758321350162202	16037	5089	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000013.spe	2.61	7.80	1	0.018306	-0.000229	0.009666	0.090140	14946.94922	1.28	19	16	102	0	30	0	36	555	284	0	464	12	850	30145	66	0	0	164	48	0	0	130	479	852	672	0	0	12	18	0	0	33	122	97	140	8	1037182089114629	16248	5153	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000014.spe	2.81	7.78	1	0.018306	-0.000229	0.009666	0.090140	15721.11035	1.39	0	4	88	0	37	14	69	603	362	0	519	47	903	32043	0	12	27	176	88	21	48	133	404	906	663	0	9	18	0	34	11	67	132	47	266	0	0	16975	5411	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000015.spe	3.01	7.76	1	0.018306	-0.000229	0.009666	0.090140	15953.59961	1.26	7	0	75	0	32	0	53	675	335	0	491	41	981	32548	135	4	10	143	28	10	104	75	587	894	852	14	0	40	0	40	14	0	132	123	152	0	0	17262	5619	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000016.spe	3.21	7.74	1	0.018306	-0.000229	0.009666	0.090140	16030.89648	1.34	0	13	75	0	41	0	50	622	340	0	495	49	915	31845	200	0	25	133	80	0	66	108	550	1009	790	0	0	48	0	17	0	80	160	86	134	11	0	17602	5621	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000017.spe	3.41	7.72	1	0.018306	-0.000229	0.009666	0.090140	16955.84961	1.31	23	18	127	11	30	5	50	749	410	0	552	45	1034	36998	133	0	0	152	0	41	87	104	587	1185	719	0	0	53	49	12	0	20	99	34	210	17	0	17588	5797	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000018.spe	3.61	7.70	1	0.018306	-0.000229	0.009666	0.090140	17055.44336	1.14	26	27	124	8	40	12	51	795	402	0	592	40	1128	37627	212	0	0	167	0	91	9	90	663	1069	762	13	0	44	0	8	53	73	44	140	146	18	228629796887573	17731	5492	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000019.spe	3.81	7.69	1	0.018306	-0.000229	0.009666	0.090140	16901.45117	1.42	18	24	100	14	26	0	31	714	388	0	674	24	1049	36072	70	0	9	195	91	234	35	145	716	1104	809	0	0	45	0	21	18	31	0	208	236	16	1013462034802800	18255	5590	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000020.spe	4.01	7.68	1	0.018306	-0.000229	0.009666	0.090140	17539.51758	1.32	10	10	99	16	55	0	47	740	370	0	544	48	1136	39611	139	0	0	157	0	0	104	31	658	1030	841	0	11	79	30	0	69	0	103	111	157	0	243627229722047	18229	5590	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000021.spe	4.21	7.67	1	0.018306	-0.000229	0.009666	0.090140	17657.01367	1.28	17	20	129	27	38	23	17	848	475	0	654	52	1146	41350	0	0	0	160	38	66	81	30	759	1036	716	0	0	44	0	0	58	29	69	148	300	0	1627184995098416	18514	5765	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000022.spe	4.41	7.66	1	0.018306	-0.000229	0.009666	0.090140	17064.74414	1.34	25	9	103	15	31	5	47	684	431	0	623	11	1049	37192	135	0	0	194	39	102	92	46	753	981	821	9	0	32	36	12	0	0	36	125	189	5	1477723350933150	18140	5665	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000023.spe	4.61	7.65	1	0.018306	-0.000229	0.009666	0.090140	16570.06641	1.36	27	12	134	0	29	0	31	657	367	0	562	0	1046	35386	31	21	0	203	42	47	0	49	613	945	754	0	0	19	0	8	0	10	104	37	262	17	0	17938	5582	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000024.spe	4.81	7.64	1	0.018306	-0.000229	0.009666	0.090140	16332.57910	1.40	8	17	84	11	25	0	14	696	368	0	598	26	1009	34728	68	24	0	250	68	106	53	57	486	975	688	0	0	22	21	46	0	40	36	131	204	7	246747763268843	17449	5452	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000025.spe	5.01	7.63	1	0.018306	-0.000229	0.009666	0.090140	15563.51660	1.25	6	23	90	12	18	0	61	558	330	0	423	38	858	29481	87	16	8	138	28	159	4	18	590	1029	751	0	0	41	22	25	50	35	0	133	203	10	354931209329648	17807	5573	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000026.spe	5.21	7.63	1	0.018306	-0.000229	0.009666	0.090140	15593.31836	1.15	8	16	84	13	33	34	30	499	305	0	382	33	861	28359	61	12	6	145	28	6	67	114	627	1009	757	0	0	47	0	14	14	51	140	58	171	8	0	17846	5920	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000027.spe	5.41	7.63	1	0.018306	-0.000229	0.009666	0.090140	16443.37500	1.45	0	0	70	10	40	366	33	633	397	0	497	33	909	32785	72	0	0	122	0	0	105	151	651	975	795	0	0	42	0	0	30	36	239	120	163	0	659266837630665	18201	5854	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000028.spe	5.61	7.63	1	0.018306	-0.000229	0.009666	0.090140	16667.46484	1.32	10	0	87	14	62	426	28	582	364	0	454	54	972	32681	108	0	0	121	38	55	20	135	556	1022	802	0	0	40	0	0	12	39	152	0	179	0	0	18759	5781	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000029.spe	5.81	7.62	1	0.018306	-0.000229	0.009666	0.090140	16542.36719	1.29	10	0	57	11	29	18	22	555	371	0	446	26	967	32450	131	8	0	164	48	157	138	143	575	1094	968	0	0	7	0	19	0	18	49	136	203	7	0	18863	5738	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000030.spe	6.01	7.62	1	0.018306	-0.000229	0.009666	0.090140	16915.44922	1.13	0	4	59	0	29	0	30	575	353	0	491	16	964	34532	108	0	0	125	0	97	49	161	677	1172	804	0	0	23	62	0	44	27	104	145	162	0	0	18281	5766	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000031.spe	6.21	7.61	1	0.018306	-0.000229	0.009666	0.090140	17751.81055	1.36	0	0	79	14	15	0	36	663	388	0	532	46	1207	39664	98	0	0	192	66	58	64	115	559	1097	683	0	0	37	0	0	30	53	132	137	249	0	241151537673659	18599	5627	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000032.spe	6.41	7.60	1	0.018306	-0.000229	0.009666	0.090140	17958.39844	1.19	17	38	128	19	48	0	51	751	467	0	679	29	1194	41856	0	0	14	219	26	90	45	192	612	854	651	0	0	38	16	26	38	71	132	168	280	9	798627120569498	18517	5698	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000033.spe	6.61	7.59	1	0.018306	-0.000229	0.009666	0.090140	17240.03125	1.25	0	17	140	7	16	0	41	705	433	0	597	56	1058	36124	54	0	9	173	9	75	83	130	549	1154	759	0	7	13	0	0	0	100	115	171	298	5	138891084579264	18950	5707	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000034.spe	6.81	7.58	1	0.018306	-0.000229	0.009666	0.090140	17134.33984	1.21	30	15	118	17	39	7	42	635	391	0	462	39	1032	35779	26	0	20	150	91	49	88	142	617	1044	834	0	0	36	0	0	0	14	91	102	238	17	1001363792567344	18638	5686	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000035.spe	7.01	7.57	1	0.018306	-0.000229	0.009666	0.090140	17283.53320	1.30	14	20	126	23	21	0	30	599	350	0	537	56	1054	35836	176	9	8	130	98	68	139	93	664	940	812	0	0	44	0	16	0	16	73	105	155	5	0	19053	5800	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000036.spe	7.21	7.57	1	0.018306	-0.000229	0.009666	0.090140	17324.43164	1.26	0	19	81	0	32	0	34	642	355	0	511	37	1045	35850	214	30	0	132	0	130	64	155	570	1046	822	0	0	39	34	17	52	28	47	119	168	0	226358764574319	18911	5808	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000037.spe	7.41	7.56	1	0.018306	-0.000229	0.009666	0.090140	17303.72852	1.27	12	28	80	0	34	0	39	560	413	0	460	54	956	35043	114	0	0	153	48	77	76	106	662	997	708	0	0	28	15	15	0	25	88	141	202	0	0	19045	6068	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000038.spe	7.61	7.55	1	0.018306	-0.000229	0.009666	0.090140	17338.23047	1.22	0	0	91	0	9	0	30	602	368	0	457	45	1051	35791	115	10	0	188	44	220	96	41	702	1057	898	0	0	44	13	41	0	24	0	106	268	14	0	18888	5893	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000039.spe	7.81	7.55	1	0.018306	-0.000229	0.009666	0.090140	17442.89648	1.29	24	34	105	8	33	0	32	617	467	0	547	35	1020	35575	263	0	0	118	0	95	67	128	632	1086	904	0	0	6	26	0	0	47	62	261	85	9	0	19474	5903	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000040.spe	8.01	7.54	1	0.018306	-0.000229	0.009666	0.090140	17725.70898	1.31	29	23	104	0	20	4	25	615	441	0	557	24	1069	37706	203	23	0	171	22	63	30	173	609	1161	792	7	0	31	0	8	0	74	60	9	134	6	0	19202	6065	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000041.spe	8.21	7.54	1	0.018306	-0.000229	0.009666	0.090140	17539.11914	1.28	15	28	116	0	36	6	48	639	461	0	527	32	1116	37816	126	6	0	151	94	146	136	9	638	985	782	0	0	39	0	16	0	0	21	180	268	6	0	18809	5727	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000042.spe	8.41	7.53	1	0.018306	-0.000229	0.009666	0.090140	17084.64258	1.31	23	21	71	21	51	0	39	608	357	0	474	8	972	34501	106	0	0	147	0	48	73	164	652	982	735	17	0	39	14	0	7	38	96	204	200	0	0	19126	6003	
N:\5-Results\ITRAX\Raw data\ITRAX Aug 2008_PAT-MG-ARD-BK1G\PAT1G\XRF data\L000043.spe	8.61	7.53	1	0.018306	-0.000229	0.009666	0.090140	17115.24023	1.28	34	31	103	17	44	31	50	583	410	0	511	42	1014	34066	21	0	15	99	85	166	48	103	650	963	716	0	6	52	0	11	0	55	21	161	249	7	0	19121	5816	
